Test,Hat
163.22,132.9469
144.6,141.18088
133.77,129.77118
137.08,133.54047
122.50000000000001,127.722534
142.58,130.83292
137.71,138.98154
122.22999999999999,136.06316
135.84,140.58241
150.8,122.97445
118.41,123.99437
144.81,145.13606
146.5,143.70406
129.74,127.46123
129.17,126.80861
124.33,126.61986
132.06,133.49606
135.09,134.29256
171.86,140.85121
126.68000000000002,129.5761
152.53,140.55885
130.66,133.88615
119.68,134.42363
133.74,125.85064
135.34,131.12735
141.8,132.22557
142.11,131.12871
145.62,134.06084
142.62,137.22147
168.76,145.91031
139.88,121.99203
146.27,140.3622
140.83,135.50856
142.4,132.99109
132.95,137.771
127.91,135.43611
156.04,149.42566
139.92,134.93025
137.58,138.07014
130.84,123.5622
130.86,134.72714
151.9,134.25424
130.06,129.22267
137.95,132.21434
120.76,131.1942
128.93,134.89473
116.52,123.91362
121.23,129.7582
134.73,137.36436
114.49,120.526794
126.31,129.60403
127.74,134.04353
128.43,124.12665
133.37,133.281
170.26,128.85469
110.72000000000001,124.87507
143.64,134.47125
127.64000000000001,141.83221
136.95,135.83662
152.72999999999996,138.6612
123.6,125.39011
149.29,132.41942
138.58,130.84239
125.25,129.60214
128.07,139.46968
133.84,129.79999
130.24,140.19742
128.23,142.02516
136.09,132.51648
131.59,137.40973
147.56,129.48595
134.84,139.3231
142.91,142.21732
136.56,133.70314
144.63,130.10999
118.61,125.64131
142.96,140.83751
124.69000000000001,120.84689
114.32,127.40547
133.36,134.69002
144.08,137.20145
139.47,131.26022
135.44,130.57443
116.07,125.14788
132.07,136.139
131.69,132.37015
139.23,140.95564
112.79,121.04254
129.43,133.62912
126.37999999999998,132.56006
162.76,132.54321
135.6,134.08498
125.49,129.2714
121.6,139.6289
117.93,127.56618
147.3,145.91388
137.32,139.39696
125.46,128.0497
141.63,129.99733
157.38,123.95782
119.11,124.42692
141.11,140.79153
113.39,139.50125
134.48,135.4781
142.21,136.0901
142.28,137.36295
117.7,130.98438
116.49,119.67987
122.07,128.10385
153.01,141.88615
153.06,138.24712
127.95,133.24443
110.85,124.90885
124.47,139.38902
149.06,145.07237
141.78,132.70981
147.12,142.47633
138.34,134.30627
113.75,126.53844
145.5,136.96957
138.42,135.28212
148.7,133.23866
154.84,144.904
149.64,140.08923
122.96000000000001,135.77917
123.87,136.30838
139.3,133.87144
122.914,127.39912
131.05,140.20073
142.58,141.54956
139.42,141.92035
139.8,138.65138
140.44,130.09317
138.45,140.22223
154.78,143.98018
113.1,124.4121
133.24,138.05513
118.17,122.950905
164.46,137.96005
129.11,131.21965
137.07,130.72255
130.32,129.1414
131.88,139.37434
121.91,119.2947
137.92,145.71516
128.21,130.71922
128.29,127.777756
138.3,128.8859
122.88,125.14552
128.56,138.01036
151.06,139.92276
135.2,123.38458
119.95,117.78068
118.59,124.301994
137.51,132.89238
136.81,140.68306
124.15,137.36693
127.59,130.9099
152.24999999999997,138.18492
120.33,126.65963
140.92,130.03548
125.63,134.96832
120.61,131.32991
137.25,136.5447
123.54,125.07298
145.23,132.07892
134.27,137.06273
147.59,139.48735
139.02,141.1112
129.34,132.12265
126.29,122.393135
113.29,128.43857
140.78,132.65843
127.96,127.067406
146.84,137.476
134.62,131.49335
129.55,135.5661
148.07,131.14832
126.15,126.51393
115.27,126.30061
141.24,133.20242
167.77,138.04227
148.96,136.50607
125.33,133.42224
153.79,141.32382
123.64,129.95288
120.11,135.73795
160.33,136.21495
115.5,136.45474
131.39,124.60474
130.34,124.655785
142.81,139.7019
134.84,139.38727
133.62,133.73778
139.3,130.20273
148.43,140.33348
141.63,133.24449
125.86,136.14072
130.74,138.52385
165.17,130.56813
117.4,132.29317
131.55,130.89319
116.75,127.71245
148.95,120.55438
129.7,133.86267
120.65,125.787636
131.7,124.755905
113.48,119.67495
123.9,131.10338
140.93,134.2462
157.4,129.13385
151.32,136.75911
103.78,119.20855
127.72,136.69885
137.97,136.52301
132.55,128.72112
146.39,136.97421
152.58,137.09013
130.04,138.06102
150.44,132.3868
143.82,137.31236
143.99,132.4762
112.31,118.652756
129.7,119.477455
105.62,120.24614
124.03,132.65182
147.82,138.48532
115.10999999999999,130.9622
196.01,140.69167
150.43,134.57219
133.35,129.87514
131.19,136.71788
151.75999999999996,143.90433
156.29,145.89745
137.38,131.9011
145.24,139.05724
128.27,136.18826
131.99,130.23073
137.53,135.6287
144.51,132.34283
135.05,146.22728
151.79000000000002,126.50375
122.19,124.319824
149.21,135.35008
186.38,132.78714
133.42,142.18994
152.78000000000003,143.16644
136.01,131.96025
136.785,127.9582
131.77,138.86563
155.07,141.2906
142.12,134.33238
121.72,121.06128
137.51,123.8597
137.19,136.01361
188.38,128.85497
148.22,132.6573
125.73625000000001,126.57678
134.05,140.27357
192.00000000000003,125.76158
126.7,136.05263
126.74,140.0013
134.24,136.13182
136.75,134.39944
138.44,133.19307
144.12,140.13295
135.36,141.221
130.6,129.29338
124.92,129.93556
144.42,131.90166
122.02,136.6128
115.14000000000001,122.78553
126.59,121.71338
137.63,129.31183
122.8,124.90103
145.25,124.5259
128.24,129.81786
142.28,130.93105
133.85,143.18333
136.87,131.3472
133.02,118.739006
131.87,128.16687
129.55,130.15764
127.03,132.32025
156.88,134.17267
114.35,121.735054
154.14,143.70685
136.59,137.11981
147.61,131.58165
148.73,134.55075
152.39,147.14792
153.12,125.43661
118.46,128.51779
129.73,129.09297
126.04,121.38726
129.46,128.43973
157.46,130.14407
138.8,128.98508
125.07,121.25824
114.12999999999998,121.75932
99.66999999999999,119.94803
124.66,131.73505
126.62999999999998,143.07242
136.2,129.5651
156.39,138.57126
128.38,127.289795
130.61,134.10062
128.93,123.3306
139.69,119.16136
144.23,152.96085
125.06,127.30651
138.77,138.10155
116.51,128.29298
142.84,142.3824
130.59,137.34283
123.86,123.30782
116.18,130.61774
135.02,134.79404
144.75,133.72229
132.49,132.49345
135.66,132.89133
143.3,135.66504
142.89,133.8764
132.29,134.61581
120.51,133.32436
119.55000000000001,124.701355
136.24,138.31268
140.49,121.356834
132.31,131.34937
124.69000000000001,129.042
135.33,143.189
107.83,127.037094
146.16,128.40265
142.69,132.80916
138.89,134.0645
140.06,129.53607
133.61,141.08664
133.3,131.28894
144.74,133.02594
145.21,120.063614
124.02,124.27583
129.05,122.36826
127.54,133.61606
121.42,130.33705
147.15,134.70522
140.63,138.97386
135.93,137.66855
135.26,139.87935
123.14,124.455986
139.32,132.80595
143.95,139.15807
119.93,131.37451
117.68,124.73967
149.16,141.1074
135.42,131.31679
143.33,138.2583
126.64999999999999,122.76805
165.74,136.02646
136.14,133.97798
165.44,135.48198
144.31,133.94728
139.45,139.62018
133.94,134.69502
155.05,149.5653
112.97,124.99092
142.82,131.26407
116.51,122.56216
116.94,137.35667
136.21,135.34288
142.49,135.06575
125.24,132.26674
122.78,129.98271
136.51,134.44864
128.08,134.78856
134.7,139.78539
127.91,122.855194
126.03,136.89389
104.1845455,120.38038
142.38,131.7191
135.67,140.20245
121.54,125.8134
164.17,145.6104
145.6,130.70613
128.11,131.87234
195.36,140.50714
132.62,140.6125
144.74,122.51436
130.61,128.10799
175.19,151.0286
144.91,136.4236
127.24,130.76648
126.44,125.44719
143.84,139.66359
126.96,125.90316
142.45,147.08023
134.25,135.7176
