Test,Hat
131.17,138.77943
143.54,140.05975
125.25,137.18509
136.6,137.86757
154.91,141.20462
142.31,136.15831
142.12,127.85975
158.81,132.55504
126.6,136.8212
118.03,120.488434
130.01,132.71944
153.73999999999998,142.13725
153.71,149.27655
125.83,120.0106
134.96,131.14326
138.63,139.05577
117.19,128.52095
139.21,130.9988
128.52,137.16763
152.04,135.02826
137.82,137.46974
138.8,125.38641
143.56,133.52142
129.98,132.07982
135.61,139.07974
130.2,134.8711
147.44,139.05649
125.88,135.32341
136.0,129.37631
132.3,120.18049
127.29,133.31424
133.75,126.4769
139.79,142.53362
132.5,128.00995
132.84,120.846535
135.31,137.31578
141.76,133.71059
128.69,125.491714
111.84,114.86267
143.82,136.924
137.1,135.71025
125.91999999999999,119.16286
140.97,136.14317
132.13,137.96046
119.24,126.46811
117.36,120.000824
115.35999999999999,122.666046
146.5,137.17297
119.82,135.0726
146.49,134.78653
153.64,140.6687
138.66,136.08136
132.12,131.44312
133.87,135.91815
138.4,135.61203
132.19,138.99362
147.51,138.89813
139.4,137.15129
148.76,132.15228
117.48,127.4743
138.81,138.15929
124.34,128.66682
127.7,126.21441
134.1,134.49971
140.27,135.07637
133.29,140.71475
132.69,132.0687
130.66,138.03146
136.19,139.43771
137.92,132.34064
131.06,136.98592
126.45,136.2695
128.48,130.35765
126.77,137.38802
136.42,125.69767
138.13,123.36574
131.38,134.03949
147.01,136.53029
118.9,123.23135
146.57,136.14117
110.7,116.96541
156.26,149.33298
124.77,116.55898
136.34,137.19553
146.53,135.67284
125.45000000000002,136.86194
134.93,139.74815
145.37,136.85353
158.9,147.74892
148.91,134.94383
164.23,148.51492
133.95,139.74077
130.54,138.03908
143.92,125.97321
136.88,132.44041
120.45,132.22021
139.15,141.84578
134.74,141.283
142.31,141.98413
124.38,134.08165
132.32,142.01122
127.27,137.14761
126.63999999999999,120.09142
168.83,146.8101
138.2,134.2726
138.95,140.62701
159.17,137.09193
142.06,125.005684
153.05,138.0057
133.76,136.00052
127.43,134.40852
144.24,141.54727
105.3034783,116.23547
124.90999999999998,131.42183
151.16,147.95386
139.54,128.6787
141.24,135.2951
143.69,141.92247
129.07,138.79506
140.93,129.8751
136.13,136.48781
97.16,120.68671
135.41,135.349
129.97,133.09572
150.38,141.4404
129.65,132.53789
120.84,119.26972
141.37,134.55176
127.35,131.94316
138.69,133.1885
117.11,120.07123
141.17,121.99866
107.95,116.910324
130.3,132.27003
130.62,134.4324
154.39,133.65839
154.32,129.1194
160.26,138.69278
115.36999999999999,119.083244
108.07,118.63051
115.14000000000001,123.73143
174.98,151.92853
118.09000000000002,134.11497
129.19,130.7845
110.81,123.49331
136.3,133.42894
137.39,137.26938
123.07,136.8843
157.82,140.14093
122.4,126.47146
130.82,138.25078
152.94,136.12381
127.24,136.26102
140.86,138.20833
130.69,138.51675
137.07,139.77539
138.43,137.83159
132.68,134.77579
136.11,128.52267
133.93,128.3904
157.94,142.22528
133.05,143.55206
120.15,127.22942
141.13,135.36299
137.12,132.4486
124.94000000000001,120.97357
139.53,135.3732
136.78,132.75388
138.98,136.90105
118.68,131.48177
156.02,144.30608
127.97,128.9532
160.09999999999997,132.40001
117.55,131.84035
126.15,122.34445
135.36,140.17671
155.69666670000004,132.9565
134.42,138.30739
127.44,138.38237
147.58,137.71933
131.95,123.999756
130.49,135.48683
133.75,136.27432
120.28000000000002,124.52148
133.7,137.33055
126.82,128.20314
131.96,138.26582
131.02,136.35623
124.47,132.74875
145.16,126.3983
126.17000000000002,126.065475
142.85,141.0935
129.2,136.22316
118.71,143.51009
138.51,134.6979
136.57,137.05502
129.25,133.60878
135.17,135.72252
135.38,134.30322
135.52,140.56744
135.18,137.44936
158.02,141.69946
144.47,130.79857
138.49,136.58328
162.07000000000002,132.24011
147.47,141.61296
124.44000000000001,117.772224
115.425,116.69594
126.52,138.82483
138.85,135.90529
121.75000000000001,134.92876
135.14,133.81125
136.69,120.98848
111.8,123.906876
120.6,122.570465
147.22,135.99641
144.57,136.23404
143.89,137.57437
142.98,135.09166
146.36,133.14723
137.7,119.01258
120.502,131.50171
137.71,132.07259
136.75,140.63788
157.13,132.07881
136.7,134.70634
145.87,124.97271
130.03,132.93414
156.13999999999996,137.64084
134.24,134.17912
136.9,138.22417
144.6,139.38301
127.84,125.88302
131.89,134.55609
124.1,129.43329
127.8,125.12615
128.0,133.86716
136.95,132.48933
135.71,136.43044
115.43,121.64251
