Test,Hat
119.22,129.38383
136.98,131.01851
134.23,131.61635
123.4,131.79448
126.96,129.8135
141.57,126.80908
138.47,130.64941
115.08,128.76721
143.31,140.41476
156.38,134.57094
145.33,137.49394
128.16,128.25787
157.34,141.47212
132.54,129.90228
130.98,124.01135
165.19,147.3452
130.74,124.15271
116.874,127.34702
146.94,139.18059
116.47999999999999,141.9356
141.7,130.76692
127.08,130.99413
146.28,132.76245
136.77,137.38452
133.21,145.60397
129.41,127.833046
127.94,123.59122
132.96,130.95581
151.92,122.710045
122.65000000000002,129.0712
125.33999999999999,130.863
135.37,142.94559
116.27,124.75399
116.49,126.71504
125.67,130.88069
120.83,122.64219
144.81,153.23486
140.12,130.14084
128.7,130.68307
158.18,128.198
128.8,129.5644
117.24000000000001,126.562706
149.8133333,139.84811
146.09,140.87788
124.79,139.56998
114.93,119.78899
147.9,142.2178
135.05,132.79779
144.055,136.47589
166.41,144.13512
153.0,147.25108
135.9,127.40883
138.82,126.16805
134.44,137.14217
121.73,127.91403
140.11,137.61722
151.64,131.77547
132.13,133.33653
111.04,123.26425
145.49,137.20195
123.87,141.73001
134.52,141.01076
162.81,127.76338
153.34,128.59464
134.78,133.38594
125.1,123.09483
150.17,134.34181
136.66,138.42465
138.52,127.4094
116.49,121.81001
129.24,128.6668
127.25,133.46318
134.59,135.09468
128.91,142.62643
133.76,134.5902
127.61,128.94014
113.07,124.32065
128.29,128.49551
124.81,137.74281
122.85,130.71736
222.67000000000002,151.89929
112.81,120.81345
148.47,123.09862
121.12,127.03217
126.31,124.39909
121.38,126.55831
124.06999999999998,131.01878
133.51,122.78536
126.03,125.87678
148.97,139.53302
145.47,138.95381
144.68,147.77512
133.26,141.97607
121.13,123.99102
148.44,126.75348
118.83,125.63938
130.67,127.57577
150.66,149.17773
124.53,132.78995
126.89,134.06226
159.62,138.30812
137.58,129.81544
135.34,136.5567
136.09,130.08571
122.29999999999998,128.89561
117.7,126.8291
137.81,131.44318
130.8,122.64944
128.48,128.22966
143.64,132.90839
123.56,129.1644
128.08,137.8276
142.88,144.0458
116.09,123.63875
133.64,133.54529
133.74,130.26726
149.92,128.5422
137.24,132.7285
119.8,123.01138
125.95,135.94147
128.82,142.97559
146.55,141.1285
128.31,124.1008
145.57,140.23804
136.85,127.21457
147.01,136.88176
165.99000000000004,141.01025
160.73000000000002,143.31996
131.92,140.48164
144.55,141.51546
118.61,134.07584
135.16,127.97673
140.21,135.45056
158.83,136.91177
138.34,132.70186
109.41,122.380745
127.46,139.50865
129.6,145.13193
159.46,128.67549
135.32,134.2939
130.93,134.03033
140.63,134.26816
133.69,130.20963
143.19,135.11894
132.42,130.65039
124.39,125.06044
136.39,134.5191
178.26,132.91574
121.6,135.94514
175.02,155.48404
123.85,126.00814
137.95,131.03569
146.42,132.95064
115.02,122.90772
131.86,129.26157
149.98,135.38622
128.89,123.53283
115.68,124.22694
144.22,137.17528
129.49,132.72136
112.36,120.92739
159.37,133.5001
115.85,126.79257
123.65,133.265
132.61,132.08998
167.24,146.54964
136.19,143.66779
150.75,148.95857
147.88,125.453445
132.88,134.27249
134.26,127.951454
130.6,130.34105
139.62,135.65872
123.97,126.48693
143.29,135.29912
140.36,140.39067
165.84,130.79187
132.61,128.12138
129.95,123.94424
147.31,138.22026
153.3,138.03755
144.36,136.69096
128.01,126.918724
137.5,129.63678
132.33,130.12788
141.42,144.27354
107.44,122.40648
134.84,137.53413
155.83999999999997,141.93211
137.24,127.15416
141.72,136.37166
160.39999999999998,133.21165
147.58,133.26721
112.13,127.30223
132.17,139.55208
130.71,127.356476
126.61000000000001,126.170784
131.09,134.10405
140.33,135.85362
141.29,127.61799
140.4,134.26955
128.7,135.38803
129.42,124.245995
158.14,139.49944
120.18,122.263626
144.42,132.23244
145.5,146.51202
133.57,137.10263
132.13,137.1163
133.12,131.89368
133.26,121.60317
145.54,125.77779
114.01,128.81181
130.97,134.84702
142.41,133.27586
154.05,140.24963
112.24,126.71038
164.41,144.9259
142.2,136.71474
156.34,149.24557
125.63,123.57076
154.4,132.08743
135.39,130.81343
170.16999999999996,131.17728
125.82,144.2775
136.27,128.93349
132.28,146.78885
140.48,139.31474
130.79,145.34518
132.06,129.17288
168.87,129.71529
109.58,122.283966
125.27,127.12378
127.48,135.54797
127.55,133.8027
116.98,126.422714
122.63999999999999,128.91074
124.76000000000002,120.228836
124.72,126.01003
131.63,131.92642
131.49,131.20186
156.07,135.8662
126.12,127.6121
127.26,136.81279
127.09,124.78879
133.95,128.76042
148.35,134.96236
140.79,136.88794
142.67,130.49263
146.72,124.52324
109.36,122.044304
127.19999999999999,124.71134
